"Weekly Temperature (deg F, 1981-2010 Base Period)"
"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20140719,68.88,63.77,69.44,77.47,66.69,76.38,74.91,73.62,78.50,72.51,-0.64,-6.39,-6.17,-2.05,-2.67,-5.03,0.78,7.76,3.55,-1.71"
"20140726,69.55,70.04,72.98,78.69,72.19,81.87,78.06,66.03,75.86,75.03,-0.18,-0.26,-2.81,-0.97,2.26,0.13,3.75,-0.55,0.45,0.48"
"20140802,66.88,65.83,70.14,76.92,68.52,78.08,73.43,73.60,78.61,72.98,-2.74,-4.28,-5.62,-2.72,-1.48,-3.86,-0.63,6.89,3.34,-1.55"
"20140809,67.95,68.14,73.02,78.52,69.48,81.31,72.12,70.62,72.80,73.50,-1.23,-1.45,-2.45,-0.90,-0.06,-0.59,-1.31,4.30,-1.90,-0.65"
"20140816,65.10,65.89,70.59,77.15,70.07,80.00,72.87,68.92,74.02,72.68,-3.32,-2.80,-4.22,-1.84,1.54,-1.45,0.33,3.38,0.14,-0.74"
"20140823,66.32,69.55,76.73,80.61,67.91,83.08,71.25,66.59,72.69,73.73,-1.00,2.14,2.93,2.29,0.95,2.50,-0.16,2.16,-0.14,1.40"
"20140830,67.19,67.55,77.40,77.70,62.51,81.77,69.17,65.16,72.19,71.86,1.29,1.79,4.97,0.27,-2.32,2.50,-0.86,2.21,0.60,0.99"
"20140906,72.00,66.45,75.68,80.67,60.72,80.22,70.80,60.35,72.86,71.50,7.86,2.70,4.99,4.35,-1.49,2.66,2.40,-0.79,2.74,2.42"
"20140913,60.89,55.83,65.82,77.43,52.37,74.11,66.23,60.33,71.56,65.40,-1.22,-5.66,-2.87,2.53,-7.06,-1.52,-0.29,1.21,3.11,-1.65"
"20140920,54.24,55.48,61.92,73.95,59.30,74.13,68.51,65.00,73.21,66.16,-5.57,-3.56,-4.49,0.78,2.63,0.58,4.12,8.06,6.68,1.33"
"20140927,58.94,60.55,64.05,69.58,63.69,72.06,68.16,61.61,67.80,66.15,1.69,4.16,0.15,-1.56,9.79,0.76,6.16,7.01,3.41,3.73"
"20141004,59.95,53.98,63.75,71.29,50.94,71.11,58.78,54.65,62.27,61.24,5.53,0.44,2.62,2.48,-0.20,2.22,-0.59,2.54,0.25,1.41"
"20141011,51.55,45.32,56.42,67.38,51.62,70.16,60.05,59.28,66.62,59.75,-0.06,-5.27,-1.93,0.95,3.31,3.73,3.43,9.74,7.11,2.58"
"20141018,57.48,49.55,57.90,67.44,50.08,64.14,57.01,51.96,61.34,57.75,8.47,1.97,2.20,3.26,4.73,0.17,3.15,5.00,4.35,3.23"
"20141025,47.79,48.90,52.97,60.38,53.37,65.52,59.34,50.99,60.08,56.83,1.14,4.35,-0.23,-1.70,11.11,3.98,8.24,6.62,5.69,4.94"
"20141101,47.17,41.85,51.65,60.71,43.19,61.96,55.29,46.77,55.46,52.51,2.67,0.39,0.80,0.57,4.16,2.84,6.95,5.00,3.70,3.23"
"20141108,41.60,40.28,46.20,53.43,42.91,55.97,48.81,45.83,52.33,48.34,-0.87,1.96,-2.35,-4.85,7.18,-0.72,3.22,6.63,3.20,1.66"
"20141115,39.32,25.29,37.03,51.32,16.08,42.97,42.36,30.92,51.50,36.96,-0.92,-9.77,-9.05,-5.05,-16.44,-11.27,-0.57,-5.83,4.84,-7.10"
"20141122,27.67,17.70,29.13,44.83,22.33,43.36,36.49,29.17,45.38,33.71,-10.09,-13.98,-14.26,-9.56,-7.07,-8.38,-3.87,-5.28,1.02,-7.74"
"20141129,36.35,23.94,39.08,51.67,30.14,50.01,41.99,41.72,48.88,41.03,1.31,-4.24,-1.39,-0.66,3.76,0.80,4.12,9.44,6.64,2.20"
"20141206,32.56,19.95,40.30,57.06,21.98,50.82,43.64,32.55,48.51,39.44,0.44,-4.70,2.87,6.83,-1.56,4.13,8.09,2.25,8.18,3.17"
"20141213,29.34,28.69,36.24,46.11,36.12,50.35,44.05,41.43,47.93,41.35,-0.09,7.15,1.46,-2.30,14.86,5.74,10.33,12.59,9.07,7.21"
"20141220,32.27,28.75,37.01,47.55,26.44,47.60,35.95,35.00,41.73,37.51,5.17,9.68,4.29,0.57,6.71,4.49,3.40,6.99,3.77,4.90"
"20141227,36.75,32.52,41.56,51.64,26.59,46.62,34.48,35.46,43.40,38.78,11.61,15.31,10.30,5.73,7.69,4.42,2.47,7.66,5.80,7.12"
"20150103,26.32,13.50,30.69,51.24,11.01,35.84,23.45,21.59,33.68,27.38,2.75,-2.47,0.31,6.01,-7.80,-6.04,-8.65,-6.64,-4.12,-3.91"
"20150110,16.34,2.13,19.63,41.75,11.60,32.65,34.62,35.49,46.03,27.07,-6.10,-13.16,-10.36,-3.15,-7.53,-9.32,2.04,6.53,7.74,-4.26"
