weekEnding,year,weekno,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom
20160123,2016,3,19.01,9.26,19.53,38.76,21.28,39.38,36.18,35.53,43.68,30.32,-2.69,-5.97,-10.69,-6.38,1.32,-3.34,2.56,5.44,4.41,-1.61
20160130,2016,4,26.88,26.41,34.55,45.3,31.39,47.45,36.58,34.47,42.65,37.38,4.82,10.55,3.69,-0.43,10.91,4.01,2.32,3.91,2.85,4.87
20160206,2016,5,36.16,25.18,40.95,53.32,25.34,46.73,28.71,30.39,36.12,36.18,13.26,8.25,9.11,6.71,4.23,2.37,-6.25,-0.59,-4.23,2.88
20160213,2016,6,20.58,13.56,25.9,40.53,30.61,46.93,41.63,38.89,49.37,36.02,-3.49,-4.87,-7.27,-7.18,8.49,1.39,5.74,7.25,8.29,1.66
20160220,2016,7,22.43,25.03,37.35,47.45,37.71,56.49,47.26,41.54,49.51,42.87,-3.04,4.67,2.53,-1.53,14.09,9.5,10.17,8.91,7.5,7.13
20160227,2016,8,32.32,31.18,40.87,53.53,34.29,50.87,42.43,38.57,49.79,42.45,5.21,8.48,4.06,3.1,8.68,2.17,3.85,4.59,6.64,5.01
20160305,2016,9,29.96,25.4,40.47,51.66,36.62,56.68,49.6,42.96,53.63,44.77,1.2,0.32,1.66,-0.17,8.9,6.28,9.51,7.58,9.33,5.61
20160312,2016,10,43.46,44.47,53.95,61.98,44,60.41,46.52,41.29,47.59,50.31,12.64,16.54,12.8,8.55,13.81,8.08,4.72,4.35,2.01,9.17
20160319,2016,11,41.91,40.82,53.45,66.14,36.16,60.05,46.02,39.36,51.28,49.08,8.73,9.86,9.9,11.1,3.5,5.79,2.57,0.99,4.52,5.93
20160326,2016,12,37.97,34.74,47.43,57.08,36.45,53.99,46.03,41.65,50.31,45.84,2.19,0.63,1.44,0.45,1.35,-2.14,1,2.02,2.5,0.71
20160402,2016,13,45.34,39.92,51.14,63.7,40,58.35,43.56,45.13,48.99,48.94,6.71,2.54,2.7,5.49,2.51,0.42,-2.98,4.4,0.24,1.86
20160409,2016,14,32.77,32.58,45.8,57.97,46.02,61.13,53.59,51.88,58.25,50.71,-8.82,-8.1,-5.07,-1.82,6.16,1.4,5.56,10.1,8.53,1.68
20160416,2016,15,41.58,45.28,52.13,59.24,46.21,63.06,51.06,48.55,53.64,52.43,-2.82,1.5,-1.07,-2.19,4,1.49,1.36,5.51,2.7,1.42
20160423,2016,16,53.27,53.35,62.14,65.55,48.17,64.96,52.65,55.5,58.7,57.37,6.23,6.67,6.74,2.44,3.61,1.49,1.09,10.97,6.23,4.32
20160430,2016,17,45.88,46.55,61.61,70,42.46,68.3,49.37,47.25,51.22,54.66,-3.62,-2.82,4.13,5.13,-4.44,2.87,-4.24,1,-3.06,-0.47
20160507,2016,18,50.15,53.45,58.08,66.71,54.76,64.18,55.09,57.46,57.52,58.16,-1.66,1.55,-1.39,0.04,5.53,-3.26,-0.73,9.33,1.17,0.91
20160514,2016,19,54.67,51.63,62.46,70.93,48.55,70.55,57.73,55.16,61.31,59.89,0.58,-2.74,0.96,2.46,-2.96,1.15,-0.33,5.22,2.94,0.54
20160521,2016,20,52.12,53.1,55.53,67.56,53.45,65.48,58.06,52.39,59.62,58.3,-4.24,-3.71,-8.09,-2.69,-0.27,-5.84,-2.21,0.81,-0.67,-3.11
20160528,2016,21,65.69,65.87,69.02,71.67,56.61,74.89,58.69,51.77,57.56,64.09,7.05,6.64,3.21,-0.35,0.74,1.69,-3.8,-1.29,-4.57,0.67
20160604,2016,22,67.98,64.41,72.91,77.45,59.71,73.8,65.82,61.14,70.59,68.28,7.09,2.81,4.83,3.67,1.75,-1.2,1.14,6.72,6.72,2.87
20160611,2016,23,61.92,65.45,71.02,76.67,68.31,77.51,72.69,65.44,71.64,71.18,-1.08,1.65,0.85,1.31,8.3,0.87,5.92,9.59,6.01,3.9
20160618,2016,24,63.67,68.49,76.78,79.78,66.55,82.39,69.75,53.6,64.15,71.03,-1.16,2.81,4.87,3.1,4.53,4.35,1.08,-3.92,-3.31,2.03
20160625,2016,25,67.91,69.97,77.4,78.29,68.37,82.4,76.88,60.4,75.66,74.2,1.52,2.74,4.11,0.55,4.36,3.22,6.51,0.95,6.28,3.64
20160702,2016,26,69.07,65.65,73.29,79.54,67.31,81.19,73.15,68.72,76.77,73.47,1.4,-2.82,-1,1.04,1.37,1.15,1.26,7.09,5.38,1.51
20160709,2016,27,70.07,69.35,75.2,82.3,68.88,84.24,75.05,63.04,72.76,74.57,1.41,-0.05,0.21,3.26,1.18,3.53,1.94,-0.73,-0.5,1.44
20160716,2016,28,72.13,69.59,76.61,81.17,66.16,83.58,75.38,61.47,72.28,74.07,2.8,-0.41,1.14,1.76,-2.81,2.35,1.46,-3.89,-2.28,0.11
20160723,2016,29,72.26,73.91,79.4,81.5,74.05,85.11,77.15,66.02,74.65,77.11,2.58,3.63,3.66,1.88,4.3,3.5,2.86,-0.33,-0.64,2.67
20160730,2016,30,74.13,71.27,78.78,83.13,70.59,82.71,77.22,72.33,79.92,77.11,4.42,1.04,2.98,3.47,0.55,0.84,3,5.6,4.51,2.52
20160806,2016,31,72.28,71.19,77.69,81.43,70.08,84.17,73.82,67.38,76.23,75.69,2.88,1.34,2.06,1.89,0.28,2.21,0.09,0.84,1.25,1.33
20160813,2016,32,73.64,70.85,78.34,81.06,68.91,83.16,73.55,65.6,74.06,75.03,4.85,1.73,3.2,1.86,-0.12,1.47,0.6,-0.32,-0.19,1.25
20160820,2016,33,73.36,69.77,75.91,82.15,67.39,78.02,72.34,72.34,77.44,74.26,5.53,1.76,1.62,3.51,-0.32,-2.98,0.42,7.39,4.14,1.42
20160827,2016,34,70.71,66.18,74.74,80.99,63.79,78.85,68.4,66.07,72.99,71.69,4.17,-0.33,1.68,3.14,-2.02,-1.03,-2.25,2.45,0.84,0.15
20160903,2016,35,69.06,66.95,74.96,79.57,68.44,78.48,70.14,64.26,72.86,72.28,4.13,2.3,3.48,2.74,5.07,0.15,1.02,2.31,2.08,2.4
20160910,2016,36,71.59,67.72,76.27,79.33,60.02,79.92,68.79,58.2,69.14,70.55,8.58,5.24,6.7,3.79,-0.6,3.45,1.43,-1.8,-0.06,2.62
20160917,2016,37,65.06,62.53,72.3,79.14,56.73,77.05,65.63,57.83,65.64,67.46,4.23,2.41,4.88,5.19,-1.12,2.59,0.3,-0.06,-1.74,1.66
20160924,2016,38,67.01,65.3,74.7,78.82,60.21,79.72,65.41,56.05,65.91,68.91,8.63,7.75,9.69,6.77,5.12,7.44,2.36,0.42,0.58,5.44
20161001,2016,39,57.56,58.18,65.42,75.48,58.77,70.42,62.52,60.71,67.9,64.65,1.9,3.4,3.07,5.64,6.44,0.48,2,7.52,4.85,3.69
20161008,2016,40,60.25,57.73,66.78,73.48,49.72,71.95,57.38,49.9,56.99,61.01,7.46,5.88,7.25,6.05,0.18,4.46,-0.42,-0.75,-3.6,2.7
20161015,2016,41,53.24,52.56,61.44,69.31,49.47,69.43,61.21,50.01,61.81,59.67,3.15,3.68,4.63,4.19,2.83,4.41,6.17,1.94,3.73,4.01
20161022,2016,42,58.38,52.44,64.16,71.04,48.69,70.1,57.44,46.9,56.98,59.2,10.75,6.58,9.91,8.08,5.09,7.52,5.15,1.42,1.46,6.18
