"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20120811,70.17,67.84,75.30,78.85,68.96,83.16,73.55,67.79,74.52,74.33,2.47,0.04,1.60,0.65,1.36,2.86,1.85,2.29,1.72,1.73"
"20120818,70.12,66.88,74.42,78.69,68.28,82.73,73.75,68.61,75.33,74.12,2.42,-0.92,0.72,0.49,0.68,2.43,2.05,3.11,2.53,1.52"
"20120825,69.92,66.66,73.98,78.42,68.14,82.26,73.67,68.72,75.54,73.93,2.22,-1.14,0.28,0.22,0.54,1.96,1.97,3.22,2.74,1.33"
"20120831,69.60,67.05,74.04,78.42,68.23,81.95,73.40,68.11,75.04,73.77,1.90,-0.75,0.34,0.22,0.63,1.65,1.70,2.61,2.24,1.17"
"20120901,60.28,59.90,67.10,73.63,58.30,74.16,65.06,57.87,66.63,65.61,0.58,0.90,0.60,0.23,1.00,0.36,0.56,0.07,0.13,0.51"
"20120908,64.67,62.57,71.11,76.01,59.21,78.55,67.23,59.38,68.54,68.31,4.97,3.57,4.61,2.61,1.91,4.75,2.73,1.58,2.04,3.21"
"20120915,63.81,62.07,69.76,74.96,59.29,77.02,66.51,59.29,68.83,67.62,4.11,3.07,3.26,1.56,1.99,3.22,2.01,1.49,2.33,2.52"
"20120922,63.07,61.16,68.70,74.45,59.21,76.12,66.34,59.69,69.10,67.19,3.37,2.16,2.20,1.05,1.91,2.32,1.84,1.89,2.60,2.09"
"20120929,62.50,60.48,68.01,74.16,59.32,75.77,66.29,60.03,69.29,66.99,2.80,1.48,1.51,0.76,2.02,1.97,1.79,2.23,2.79,1.89"
"20120930,62.58,60.37,67.91,74.24,59.14,75.62,66.31,59.96,69.36,66.93,2.88,1.37,1.41,0.84,1.84,1.82,1.81,2.16,2.86,1.83"
"20121006,53.65,45.61,53.71,66.52,42.30,61.02,55.69,48.08,61.98,54.40,5.05,-1.79,-1.49,3.02,-3.30,-2.48,2.29,0.28,4.98,0.10"
"20121013,50.64,43.84,51.87,64.93,41.98,60.67,54.78,48.41,60.23,53.36,2.04,-3.56,-3.33,1.43,-3.62,-2.83,1.38,0.61,3.23,-0.94"
