Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
01-11-15,35,31,93,1,26
08-11-15,34,30,89,1,27
15-11-15,35,30,88,1,29
22-11-15,34,28,81,1,28
29-11-15,34,29,94,1,27
06-12-15,36,29,93,1,27
13-12-15,40,28,87,1,30
20-12-15,37,29,84,1,32
27-12-15,38,33,96,1,35
03-01-16,36,33,98,1,32
10-01-16,36,31,93,1,30
17-01-16,39,32,97,1,30
24-01-16,40,33,100,1,30
31-01-16,39,32,92,1,30
07-02-16,41,31,84,1,29
14-02-16,44,32,92,1,31
21-02-16,42,33,92,1,31
28-02-16,43,32,87,1,29
06-03-16,45,33,85,1,29
13-03-16,41,31,82,1,28
20-03-16,39,31,84,1,27
27-03-16,38,31,87,1,26
03-04-16,36,31,88,1,24
10-04-16,37,31,99,1,23
17-04-16,36,29,88,1,22
24-04-16,34,29,86,1,21
01-05-16,34,29,83,1,20
08-05-16,35,29,87,1,21
15-05-16,33,29,86,1,21
22-05-16,34,29,85,1,20
29-05-16,33,29,81,1,20
05-06-16,32,29,83,1,19
12-06-16,32,29,82,1,18
19-06-16,31,29,85,1,18
26-06-16,32,30,85,1,17
03-07-16,31,30,82,1,17
10-07-16,31,30,86,0,16
17-07-16,32,30,85,1,16
24-07-16,31,31,90,1,16
31-07-16,31,30,86,1,16
07-08-16,30,30,88,1,16
14-08-16,30,31,88,1,17
21-08-16,31,30,89,0,18
28-08-16,31,29,86,1,18
04-09-16,32,30,85,1,23
11-09-16,31,30,89,1,22
18-09-16,33,30,88,1,22
25-09-16,32,30,84,1,22
02-10-16,30,30,83,0,22
09-10-16,31,31,91,1,23
16-10-16,32,31,95,1,23
