Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
04-01-09,29,21,90,1,17
11-01-09,29,21,81,1,16
18-01-09,31,19,79,1,17
25-01-09,33,21,78,1,18
01-02-09,35,22,82,1,19
08-02-09,37,21,77,1,19
15-02-09,35,22,77,1,19
22-02-09,35,22,79,1,19
01-03-09,34,21,81,1,18
08-03-09,33,21,82,1,18
15-03-09,33,22,79,1,16
22-03-09,33,22,78,1,16
29-03-09,31,22,78,1,15
05-04-09,30,21,78,1,15
12-04-09,30,21,80,1,14
19-04-09,31,20,76,1,15
26-04-09,37,21,78,1,17
03-05-09,32,20,75,1,14
10-05-09,31,20,77,1,13
17-05-09,33,20,78,1,13
24-05-09,32,20,79,1,13
31-05-09,31,20,82,1,13
07-06-09,32,21,79,1,13
14-06-09,30,21,79,1,12
21-06-09,29,21,80,1,12
28-06-09,29,21,79,1,11
05-07-09,28,22,79,1,11
12-07-09,28,22,80,1,11
19-07-09,27,22,86,1,11
26-07-09,28,22,86,1,11
02-08-09,27,22,81,1,11
09-08-09,26,23,82,1,11
16-08-09,27,22,81,1,11
23-08-09,28,22,80,1,12
30-08-09,30,22,79,1,13
06-09-09,32,22,79,1,14
13-09-09,33,21,82,1,16
20-09-09,35,23,82,1,17
27-09-09,36,23,82,1,18
04-10-09,39,23,84,1,18
11-10-09,38,23,82,1,20
18-10-09,43,24,84,1,22
25-10-09,42,24,84,1,23
01-11-09,40,23,83,1,22
08-11-09,37,24,83,1,22
15-11-09,34,24,84,1,21
22-11-09,32,21,71,1,19
29-11-09,31,21,79,1,19
06-12-09,30,21,76,1,18
13-12-09,30,20,78,1,17
20-12-09,29,19,79,1,18
27-12-09,29,21,100,1,20
